user,week,auth_events,auth_success,success_rate,uniq_src,uniq_dst,night_auth
user1060,2023-02-12,14,13,0.929,1,1,1
user0909,2023-03-05,8,6,0.75,3,1,1
user0465,2023-08-27,11,9,0.818,2,1,0
user1781,2024-01-21,6,6,1.0,2,1,1
user0732,2024-03-17,10,9,0.9,1,2,0
user0418,2023-09-17,10,10,1.0,2,2,0
user1367,2023-06-25,13,12,0.923,1,5,2
user1994,2024-02-04,12,10,0.833,1,1,0
user1632,2024-06-16,12,12,1.0,1,2,0
user1624,2024-05-05,10,10,1.0,1,3,0
user0265,2023-03-26,17,15,0.882,3,3,2
user0076,2023-08-27,11,9,0.818,1,2,1
user0218,2024-01-07,11,10,0.909,1,2,0
user1368,2024-05-19,6,6,1.0,1,5,1
user0038,2024-02-11,10,10,1.0,2,3,0
user0217,2024-04-07,21,21,1.0,1,2,2
user1075,2024-02-25,12,12,1.0,1,1,0
user0328,2023-03-12,12,12,1.0,2,5,0
user1645,2023-01-01,9,8,0.889,1,3,0
user0596,2024-02-11,11,9,0.818,1,3,0
user1854,2023-04-16,17,12,0.706,1,1,2
user1646,2024-02-11,10,9,0.9,1,1,1
user0189,2023-11-26,14,13,0.929,2,2,1
user0333,2023-07-23,12,11,0.917,5,3,1
user1405,2023-01-08,9,8,0.889,5,4,0
user0121,2024-04-28,14,14,1.0,1,2,2
user1716,2023-12-31,9,5,0.556,1,4,0
user1753,2023-11-12,10,8,0.8,3,1,2
user0708,2023-12-17,13,13,1.0,1,1,1
user0301,2024-07-07,15,14,0.933,1,4,2
user1519,2023-04-23,7,7,1.0,4,2,0
user0882,2023-05-21,7,7,1.0,3,1,1
user0994,2023-11-05,11,10,0.909,2,3,0
user0659,2024-01-28,15,13,0.867,1,1,0
user1217,2023-06-18,11,10,0.909,1,2,2
user0095,2023-06-11,9,8,0.889,1,1,0
user1295,2023-02-12,13,12,0.923,1,2,1
user1770,2023-09-10,10,10,1.0,3,1,0
user1729,2023-12-24,10,9,0.9,3,1,0
user1513,2023-06-04,24,24,1.0,1,2,0
user1414,2023-06-25,15,14,0.933,3,3,0
user1955,2023-01-15,15,12,0.8,1,1,0
user1710,2024-03-03,12,12,1.0,1,5,0
user0561,2023-01-08,10,10,1.0,3,1,1
user1202,2024-02-25,10,8,0.8,5,2,0
user1234,2023-06-11,9,9,1.0,2,1,0
user0978,2023-08-20,14,14,1.0,2,3,0
user1194,2023-06-25,14,14,1.0,3,1,0
user1541,2024-04-21,14,13,0.929,1,1,1
user0478,2024-03-31,14,14,1.0,1,3,1
user1952,2023-11-19,7,6,0.857,1,1,0
user1483,2024-05-19,19,18,0.947,2,2,1
user1848,2023-12-17,4,4,1.0,1,4,0
user1115,2024-03-24,12,12,1.0,5,3,0
user0581,2023-10-15,11,11,1.0,1,2,0
user1430,2023-03-12,13,11,0.846,1,1,1
user1751,2023-12-31,17,14,0.824,3,1,2
user0266,2023-10-15,15,11,0.733,2,3,2
user1973,2023-06-11,10,7,0.7,1,1,2
user0265,2023-04-02,17,15,0.882,1,1,0
user1977,2023-02-12,9,9,1.0,1,2,0
user0647,2023-02-12,11,11,1.0,1,3,1
user0995,2024-06-16,17,17,1.0,1,2,0
user0978,2024-06-23,6,5,0.833,4,1,0
user0203,2024-02-04,7,7,1.0,3,4,0
user1958,2023-10-22,14,14,1.0,1,1,0
user0077,2023-10-08,17,15,0.882,1,1,1
user0659,2023-10-29,15,12,0.8,1,1,0
user0068,2023-06-11,13,12,0.923,2,1,0
user1019,2023-12-24,9,7,0.778,2,1,0
user0699,2023-10-29,7,7,1.0,1,1,0
user1318,2023-04-09,11,11,1.0,1,1,1
user1189,2023-07-16,8,8,1.0,2,3,0
user0111,2023-03-12,13,13,1.0,1,1,0
user1296,2023-06-18,16,15,0.938,1,1,0
user0486,2024-01-28,20,19,0.95,1,1,1
user1709,2024-06-30,14,12,0.857,1,1,1
user0931,2024-05-12,13,11,0.846,1,1,1
user1362,2024-05-12,20,20,1.0,1,1,2
user1910,2023-07-23,13,10,0.769,1,3,3
user0833,2023-12-31,9,9,1.0,1,2,0
user1236,2024-04-14,11,10,0.909,1,3,0
user0479,2023-01-08,13,13,1.0,2,4,0
user1633,2024-05-05,11,11,1.0,1,1,0
user1984,2023-10-01,10,10,1.0,1,2,0
user1455,2024-06-09,16,16,1.0,1,1,1
user1421,2023-01-15,9,8,0.889,1,3,0
user1587,2023-12-17,9,9,1.0,1,1,0
user0297,2023-04-30,17,16,0.941,3,1,0
user1644,2023-04-02,11,11,1.0,2,1,1
user0932,2024-02-18,18,17,0.944,4,2,1
user1206,2023-12-10,12,11,0.917,1,1,1
user1545,2023-01-15,11,8,0.727,1,4,0
user0419,2023-06-11,14,12,0.857,3,1,0
user1900,2024-01-28,8,8,1.0,2,3,0
user1323,2023-04-30,7,6,0.857,1,1,0
user0912,2023-10-01,17,15,0.882,2,1,0
user0949,2023-08-20,21,20,0.952,3,1,0
user1027,2023-11-05,14,14,1.0,1,4,0
user1776,2023-02-05,13,12,0.923,4,1,1
user1967,2023-12-31,16,15,0.938,2,3,0
user1071,2024-04-07,13,12,0.923,3,4,1
user0677,2023-01-22,10,10,1.0,1,2,0
user0003,2023-07-09,15,12,0.8,1,2,3
user1404,2023-02-26,12,10,0.833,3,4,0
user1855,2023-08-27,17,17,1.0,2,3,0
user1803,2024-06-30,15,15,1.0,2,3,0
user0823,2024-06-16,9,8,0.889,1,3,0
user1514,2024-01-21,15,14,0.933,1,4,0
user1942,2023-05-14,15,14,0.933,1,3,0
user1586,2023-02-26,13,13,1.0,1,1,1
user1903,2024-07-07,12,10,0.833,1,3,0
user1988,2023-09-24,14,13,0.929,1,4,1
user0374,2023-07-23,22,22,1.0,1,3,2
user0596,2023-11-05,9,8,0.889,1,2,0
user0493,2023-09-17,14,12,0.857,1,2,0
user1428,2023-06-18,11,9,0.818,2,1,1
user1804,2023-11-12,10,9,0.9,1,1,0
user0912,2023-08-20,13,10,0.769,1,1,1
user0770,2023-09-24,15,14,0.933,4,1,1
user1486,2023-10-22,12,12,1.0,1,1,0
user0904,2023-01-29,18,16,0.889,2,1,0
user0415,2023-10-29,9,9,1.0,2,1,0
user0863,2024-06-30,9,7,0.778,1,1,2
user1201,2024-03-24,13,12,0.923,1,3,0
user1097,2023-10-01,14,12,0.857,2,1,2
user1006,2024-04-28,13,13,1.0,2,1,0
user0139,2024-05-05,6,6,1.0,1,4,0
user0224,2023-06-11,10,7,0.7,3,3,2
user0293,2023-01-22,12,12,1.0,2,6,0
user1928,2024-07-07,12,12,1.0,1,3,1
user0411,2023-07-09,11,9,0.818,1,2,1
user0333,2023-06-18,12,9,0.75,1,1,0
user1973,2023-05-07,13,12,0.923,2,1,0
user1740,2023-06-25,13,12,0.923,1,1,0
user1526,2024-01-21,11,11,1.0,1,3,0
user1334,2023-08-06,13,11,0.846,3,1,2
user1949,2023-04-30,12,10,0.833,2,3,1
user0068,2023-08-06,17,17,1.0,1,3,0
user0912,2023-09-03,9,8,0.889,2,1,2
user0532,2023-01-08,18,16,0.889,2,1,0
user1506,2023-08-20,4,3,0.75,1,2,1
user0069,2024-03-17,13,12,0.923,4,2,0
user1167,2024-01-21,13,11,0.846,1,2,0
user1275,2024-05-26,15,13,0.867,3,1,1
user0699,2023-05-07,6,5,0.833,1,3,1
user1128,2024-05-19,11,10,0.909,1,1,1
user1544,2023-07-23,15,14,0.933,1,5,0
user1291,2024-04-07,12,11,0.917,1,1,1
user0444,2024-02-25,15,14,0.933,1,2,0
user1194,2023-12-03,15,12,0.8,1,1,1
user0626,2024-04-28,18,17,0.944,2,1,0
user0750,2024-03-31,11,10,0.909,1,1,0
user0085,2024-01-21,12,10,0.833,1,4,1
user1562,2023-12-24,13,10,0.769,1,1,3
user1726,2023-10-29,11,10,0.909,1,1,0
user0031,2023-07-09,5,3,0.6,3,2,0
user1700,2023-10-29,9,9,1.0,1,1,1
user0041,2023-05-07,17,15,0.882,1,1,3
user0220,2023-03-05,8,8,1.0,1,1,0
user0780,2023-04-09,12,7,0.583,2,1,0
user1709,2023-05-14,10,8,0.8,3,1,2
user1310,2024-04-14,10,10,1.0,1,1,0
user0984,2023-12-17,13,10,0.769,1,2,2
user0056,2023-08-20,9,9,1.0,1,2,0
user1894,2024-02-11,15,15,1.0,2,2,0
user1702,2023-08-20,12,11,0.917,1,1,1
user1132,2024-06-16,16,15,0.938,1,2,0
user0022,2023-03-05,12,11,0.917,4,2,0
user0250,2023-05-14,11,9,0.818,1,3,1
user0648,2023-06-18,10,8,0.8,1,1,0
user0685,2023-02-26,17,15,0.882,3,1,2
user0291,2023-05-21,11,10,0.909,2,2,0
user1380,2023-04-23,15,14,0.933,3,1,0
user0372,2024-04-21,9,9,1.0,2,3,0
user0680,2023-08-13,9,9,1.0,5,1,2
user0429,2023-11-12,10,8,0.8,1,3,0
user0774,2024-01-28,10,10,1.0,1,2,1
user1248,2023-02-26,10,9,0.9,3,1,0
user0271,2024-04-21,13,12,0.923,1,1,0
user1631,2023-10-22,15,14,0.933,1,2,0
user1935,2024-04-14,13,11,0.846,2,1,0
user1908,2024-01-14,9,7,0.778,2,1,1
user1573,2023-06-18,13,12,0.923,1,2,1
user1323,2023-04-16,11,11,1.0,1,1,0
user0368,2023-01-01,5,5,1.0,1,3,1
user1764,2023-11-12,5,4,0.8,2,3,0
user0726,2023-03-19,12,12,1.0,1,2,0
user1025,2023-04-23,9,9,1.0,2,2,0
user1460,2024-01-14,16,15,0.938,1,1,1
user0796,2024-03-10,13,12,0.923,1,1,2
user1428,2024-05-26,10,10,1.0,1,4,0
user1379,2023-04-09,12,11,0.917,1,1,0
user0784,2023-07-16,11,10,0.909,1,1,0
user0554,2023-04-23,14,14,1.0,2,1,0
user1037,2023-10-22,14,14,1.0,1,3,1
user1730,2024-03-10,15,13,0.867,3,3,1
user1628,2023-07-16,12,11,0.917,1,3,0
user1873,2023-06-25,13,11,0.846,1,1,0
user0779,2024-05-05,6,6,1.0,3,2,1
user1783,2023-12-10,15,14,0.933,3,1,1
user0031,2024-06-16,11,11,1.0,1,2,0
user1755,2023-01-29,12,10,0.833,1,4,0
user0247,2024-02-04,8,8,1.0,1,1,0
user0518,2023-12-03,10,10,1.0,2,2,0
user0930,2023-12-17,11,10,0.909,4,1,1
user1445,2023-10-29,14,14,1.0,2,1,1
user1609,2024-03-31,6,6,1.0,3,1,0
user1664,2023-09-17,11,11,1.0,1,2,0
user0742,2024-03-17,13,10,0.769,3,2,1
user0211,2024-03-17,19,17,0.895,1,2,1
user0756,2023-08-20,17,16,0.941,1,5,0
user0760,2023-01-01,11,10,0.909,1,1,1
user0899,2023-04-16,10,10,1.0,1,4,0
user0452,2023-01-22,5,5,1.0,1,1,0
user1939,2024-03-31,12,10,0.833,1,1,3
user0116,2023-10-22,11,9,0.818,1,1,2
user0940,2023-01-22,9,9,1.0,1,3,0
user0930,2023-05-07,9,9,1.0,2,1,0
user1419,2023-08-13,9,9,1.0,2,2,0
user1995,2024-04-07,12,12,1.0,3,1,0
user0676,2023-06-18,10,9,0.9,1,4,0
user1268,2023-04-09,17,15,0.882,1,2,2
user0862,2024-03-10,18,17,0.944,3,1,0
user1786,2023-11-19,16,11,0.688,2,2,3
user0983,2023-10-29,8,8,1.0,1,3,0
user1024,2023-11-12,12,10,0.833,3,1,1
user1643,2023-11-26,12,12,1.0,2,1,1
user0880,2023-01-15,14,14,1.0,1,2,1
user1486,2024-03-17,18,18,1.0,1,1,0
user1293,2023-04-02,16,12,0.75,1,3,2
user1032,2024-05-12,10,10,1.0,2,4,0
user0683,2023-04-09,11,11,1.0,1,1,1
user1884,2023-05-07,13,11,0.846,3,1,0
user0070,2023-04-02,7,6,0.857,2,1,0
user0654,2023-12-10,12,12,1.0,1,2,0
user0294,2023-04-30,11,11,1.0,2,5,0
user0643,2023-11-19,11,10,0.909,3,3,0
user1604,2024-02-25,20,19,0.95,6,2,0
user0273,2023-05-14,14,12,0.857,1,1,2
user1645,2023-02-05,14,14,1.0,2,2,1
user1303,2024-04-07,13,13,1.0,1,4,0
user0752,2024-06-09,13,12,0.923,2,3,1
user1676,2024-06-23,13,10,0.769,3,1,2
user0632,2023-04-16,17,15,0.882,1,1,2
user0895,2023-09-10,5,5,1.0,2,2,0
user0896,2023-08-13,12,11,0.917,2,2,0
user1969,2023-10-01,10,9,0.9,1,1,1
user1195,2024-05-12,7,6,0.857,2,2,1
user1094,2023-10-22,11,11,1.0,1,3,0
user1840,2023-10-29,14,14,1.0,3,3,0
user1637,2024-03-10,12,12,1.0,4,1,0
user1481,2023-11-19,10,9,0.9,1,3,1
user0284,2024-01-21,9,8,0.889,1,1,0
user1663,2023-05-14,16,16,1.0,3,5,1
user0545,2023-08-13,16,14,0.875,2,1,0
user1066,2023-01-22,13,13,1.0,1,1,3
user1168,2023-05-21,10,8,0.8,1,1,1
user0318,2023-02-26,12,9,0.75,1,1,1
user0760,2024-02-25,8,7,0.875,1,1,0
user0450,2023-12-24,10,10,1.0,1,4,1
user0001,2023-01-01,9,8,0.889,1,1,1
user0154,2023-03-26,10,9,0.9,4,1,0
user0962,2023-04-09,8,8,1.0,1,2,0
user1482,2023-09-03,9,9,1.0,2,1,0
user0351,2024-02-11,8,7,0.875,1,2,1
user1857,2024-03-10,13,12,0.923,2,7,1
user0032,2023-06-04,8,7,0.875,1,3,1
user0370,2023-06-04,9,9,1.0,1,2,0
user1382,2024-03-03,12,9,0.75,2,2,0
user0503,2023-06-25,15,12,0.8,3,3,3
user0270,2023-07-09,12,11,0.917,1,2,1
user1464,2024-07-07,11,10,0.909,1,3,0
user0771,2024-01-21,13,12,0.923,1,5,0
user1682,2023-10-15,18,17,0.944,1,3,3
user1518,2023-02-26,14,14,1.0,1,2,1
user0147,2023-09-24,8,7,0.875,4,1,0
user1670,2024-02-11,21,21,1.0,2,1,0
user1308,2023-08-06,11,8,0.727,2,1,0
user0574,2023-02-12,11,11,1.0,2,1,2
user1879,2024-03-03,11,11,1.0,1,1,1
user1437,2023-07-02,13,13,1.0,1,1,0
user0444,2023-08-06,8,7,0.875,2,1,1
user1041,2023-09-17,5,5,1.0,1,1,0
user0695,2023-08-06,10,7,0.7,4,2,1
user1891,2023-12-17,6,6,1.0,3,1,0
user1211,2023-12-17,24,24,1.0,2,1,0
user0342,2023-07-30,15,15,1.0,3,1,0
user0180,2024-05-26,11,11,1.0,5,3,1
user0308,2024-01-28,10,10,1.0,1,1,0
user0217,2024-04-07,7,6,0.857,1,1,0
user0710,2023-09-10,14,13,0.929,1,4,0
user0573,2024-01-28,7,5,0.714,1,1,0
user1643,2023-07-02,12,12,1.0,2,1,1
user1574,2023-11-26,11,11,1.0,1,1,0
user0584,2023-08-27,8,7,0.875,2,2,1
user1543,2024-04-21,18,18,1.0,2,2,0
user0911,2023-08-06,11,9,0.818,1,1,0
user0202,2023-07-02,12,11,0.917,1,3,1
user1899,2024-04-14,14,13,0.929,1,1,1
user1186,2023-08-06,9,9,1.0,1,4,0
user0988,2024-02-04,9,7,0.778,2,2,2
user1831,2023-03-26,7,7,1.0,1,1,0
user0043,2024-01-21,11,10,0.909,2,2,1
user0100,2023-08-06,14,14,1.0,1,2,0
user0027,2024-02-18,9,8,0.889,2,2,0
user1708,2023-04-09,15,15,1.0,1,1,1
user0570,2024-06-09,12,10,0.833,1,1,1
user1078,2023-12-17,11,11,1.0,2,1,0
user1968,2023-11-26,17,17,1.0,2,1,3
user1655,2023-09-03,10,9,0.9,1,1,1
user1749,2023-03-05,16,15,0.938,1,2,1
user0900,2023-07-02,6,6,1.0,2,1,0
user1744,2023-05-07,12,12,1.0,1,1,1
user1606,2024-01-14,8,8,1.0,1,1,2
user0182,2023-07-30,16,12,0.75,3,1,2
user0829,2023-11-19,13,12,0.923,3,3,0
user0810,2023-04-02,16,14,0.875,1,4,1
user1597,2023-01-01,10,10,1.0,2,2,2
user1741,2024-07-07,18,16,0.889,2,1,1
user0283,2024-07-07,14,13,0.929,1,2,0
user0834,2024-02-11,3,3,1.0,4,2,0
user1860,2023-07-16,21,18,0.857,1,1,2
user0935,2023-12-10,11,9,0.818,5,1,1
user0183,2023-08-20,11,11,1.0,3,1,0
user1580,2023-12-24,14,14,1.0,1,2,0
user0189,2023-08-06,10,9,0.9,1,1,1
user0186,2024-06-02,18,16,0.889,4,4,0
user1198,2024-06-09,12,12,1.0,4,2,0
user0593,2024-03-24,17,15,0.882,1,2,0
user0607,2023-07-30,14,14,1.0,5,4,1
user0365,2024-03-31,8,8,1.0,1,4,1
user1122,2023-06-11,13,11,0.846,1,1,0
user1738,2024-05-05,14,11,0.786,6,1,1
user1098,2024-01-07,13,13,1.0,2,1,0
user1858,2024-05-12,15,15,1.0,1,1,0
user0684,2023-10-01,9,9,1.0,1,2,2
user1603,2024-04-28,12,12,1.0,1,2,0
user0283,2024-06-30,10,8,0.8,1,1,1
user1406,2023-08-20,10,10,1.0,1,2,0
user0332,2024-02-04,13,9,0.692,1,2,1
user1777,2023-08-27,14,13,0.929,1,3,0
user1811,2024-02-04,12,10,0.833,1,1,0
user0460,2023-04-16,9,9,1.0,1,1,0
user1248,2024-06-09,7,6,0.857,2,2,0
user1525,2024-04-28,16,13,0.812,4,2,2
user1548,2023-05-21,12,12,1.0,2,1,0
user0086,2023-08-20,7,7,1.0,2,3,1
user0860,2023-04-23,14,13,0.929,3,4,0
user1259,2023-02-05,6,6,1.0,1,2,1
user0785,2023-07-02,9,9,1.0,2,1,0
user1923,2023-03-26,7,7,1.0,1,2,0
user1655,2024-02-18,12,11,0.917,2,1,0
user1514,2024-04-28,11,8,0.727,3,3,1
user0715,2024-01-14,16,14,0.875,1,1,2
user0843,2023-04-02,17,16,0.941,4,1,0
user1439,2023-05-07,11,10,0.909,2,3,0
user1891,2023-10-01,20,17,0.85,1,2,2
user0941,2024-03-31,8,8,1.0,2,1,0
user1403,2023-09-17,16,14,0.875,1,2,0
user1561,2023-11-12,9,7,0.778,4,4,1
user1999,2023-02-26,22,20,0.909,3,1,3
user0750,2023-02-19,15,13,0.867,1,1,1
user0248,2024-06-09,11,9,0.818,2,2,0
user0004,2023-05-28,11,10,0.909,1,3,0
user0516,2024-03-10,18,18,1.0,1,4,1
user1287,2023-02-19,8,7,0.875,1,6,1
user0849,2024-06-09,9,8,0.889,1,1,0
user1519,2024-06-09,9,9,1.0,1,1,0
user0261,2023-05-14,16,16,1.0,3,2,2
user1933,2024-04-07,11,10,0.909,2,1,0
user1653,2024-06-16,17,13,0.765,3,1,0
user0186,2023-09-10,9,8,0.889,1,1,2
user0536,2023-12-24,20,18,0.9,1,1,0
user0192,2023-01-22,13,13,1.0,1,2,0
user0833,2023-08-13,13,12,0.923,1,2,0
user1933,2024-03-10,12,11,0.917,1,3,1
user1957,2023-03-26,16,16,1.0,3,5,0
user0230,2023-09-03,15,15,1.0,1,2,0
user1106,2023-11-26,15,11,0.733,1,3,1
user0244,2023-12-10,12,11,0.917,3,1,1
user0728,2024-06-16,14,14,1.0,2,2,0
user0905,2023-11-12,8,8,1.0,1,2,1
user0333,2023-04-30,11,11,1.0,1,1,0
user1680,2024-06-16,13,11,0.846,1,1,1
user0737,2023-11-05,23,21,0.913,2,2,2
user1531,2023-01-01,11,11,1.0,1,1,1
user1913,2024-03-24,12,11,0.917,3,3,1
user0534,2023-08-13,16,14,0.875,3,2,1
user1250,2023-04-09,15,12,0.8,1,3,4
user0632,2023-02-19,6,5,0.833,2,1,0
user1526,2023-01-01,12,11,0.917,2,1,0
user1915,2024-05-05,12,11,0.917,1,4,0
user1383,2023-07-16,12,9,0.75,1,2,1
user1773,2023-04-09,18,16,0.889,2,2,0
user1051,2024-04-07,10,8,0.8,4,1,0
user0620,2023-06-25,12,9,0.75,1,6,1
user1487,2023-03-05,7,7,1.0,1,3,1
user0885,2024-04-14,13,11,0.846,4,2,2
user0891,2024-06-02,17,17,1.0,1,5,2
user0854,2023-05-28,13,13,1.0,2,1,0
user1904,2023-04-16,14,14,1.0,2,1,0
user1618,2024-03-31,12,11,0.917,1,3,0
user1328,2023-04-30,9,5,0.556,3,4,1
user0840,2023-04-09,11,11,1.0,2,2,2
user0947,2023-02-19,10,10,1.0,1,2,0
user0881,2023-12-03,12,10,0.833,1,2,1
user0927,2023-08-27,15,11,0.733,3,1,1
user0566,2024-06-30,11,9,0.818,1,3,1
user1119,2024-01-07,10,10,1.0,2,1,0
user0619,2023-01-01,10,10,1.0,3,1,1
user1808,2023-07-30,13,12,0.923,1,2,0
user1735,2023-02-26,12,10,0.833,3,1,1
user1472,2023-03-26,15,15,1.0,2,2,0
user1953,2023-06-18,16,15,0.938,1,1,1
user0971,2023-10-15,16,16,1.0,1,1,0
user0080,2023-06-25,13,13,1.0,2,2,0
user0689,2023-02-26,9,8,0.889,1,1,0
user0700,2023-08-06,13,11,0.846,4,3,1
user1710,2023-05-28,13,11,0.846,1,3,1
user1321,2023-08-20,4,4,1.0,2,4,0
user1166,2024-05-12,8,8,1.0,1,2,0
user0520,2023-07-09,11,11,1.0,1,3,0
user1641,2024-03-10,10,10,1.0,3,3,0
user0146,2023-02-26,6,6,1.0,1,2,0
user1830,2023-05-28,13,13,1.0,1,4,1
user1892,2023-03-26,15,14,0.933,3,3,2
user1114,2023-02-19,15,14,0.933,3,2,1
user1843,2023-03-26,8,7,0.875,4,2,1
user0764,2023-06-25,13,12,0.923,2,2,1
user1648,2024-06-09,11,7,0.636,3,3,1
user1639,2024-05-26,14,14,1.0,1,1,2
user0012,2024-02-18,16,15,0.938,4,2,2
user1547,2024-05-12,12,12,1.0,1,4,0
user1941,2023-04-09,10,9,0.9,3,3,3
user1721,2023-05-21,14,14,1.0,1,3,1
user0778,2024-06-30,10,8,0.8,1,3,0
user0084,2023-11-19,14,12,0.857,1,5,0
user0525,2024-05-05,9,9,1.0,4,4,1
user1437,2023-03-05,12,11,0.917,2,6,1
user0414,2024-02-11,7,7,1.0,2,1,0
user0798,2023-12-10,11,11,1.0,1,2,1
user1181,2023-09-03,4,4,1.0,1,2,0
user0001,2023-02-26,15,13,0.867,1,2,0
user1831,2023-07-02,10,10,1.0,2,2,0
user1975,2024-02-04,18,13,0.722,3,2,0
user0164,2023-09-24,10,9,0.9,1,1,0
user1038,2023-02-05,10,10,1.0,4,2,1
user0183,2023-09-03,13,13,1.0,3,1,1
user0678,2023-05-14,14,13,0.929,5,3,0
user0619,2023-06-04,7,7,1.0,4,1,1
user0126,2023-07-23,7,7,1.0,1,2,0
user0347,2024-02-25,13,11,0.846,1,1,0
user0477,2024-05-26,10,9,0.9,1,1,1
user0387,2023-02-05,13,13,1.0,1,2,1
user1506,2023-01-22,10,7,0.7,1,1,0
user0616,2023-06-04,13,13,1.0,2,5,0
user1211,2023-10-29,8,8,1.0,3,2,1
user1354,2023-07-02,12,11,0.917,4,1,1
user1852,2023-01-22,17,13,0.765,3,1,2
user0049,2023-05-07,8,7,0.875,2,2,0
user0274,2023-07-30,10,10,1.0,2,1,0
user0416,2024-02-04,7,7,1.0,1,2,0
user0211,2023-07-02,17,15,0.882,1,5,3
user0287,2024-06-09,16,16,1.0,1,2,0
user0648,2024-03-03,10,10,1.0,1,1,0
user0103,2024-05-19,8,8,1.0,3,1,0
user1619,2023-08-27,8,5,0.625,3,1,1
user1506,2024-06-16,15,15,1.0,1,4,1
user1347,2023-05-14,9,9,1.0,3,5,0
user0488,2024-04-21,5,5,1.0,1,1,0
user1358,2023-02-26,9,9,1.0,3,1,0
user1763,2023-08-13,14,13,0.929,2,4,0
user1452,2023-05-07,7,7,1.0,1,3,0
user0518,2023-02-19,11,11,1.0,2,1,1
user1788,2023-09-24,9,8,0.889,1,2,0
user1304,2023-01-01,19,18,0.947,4,4,0
user0797,2023-12-17,9,9,1.0,3,1,0
user0797,2024-05-19,19,15,0.789,1,4,3
user1708,2024-04-14,8,8,1.0,1,3,0
user1542,2024-01-28,10,10,1.0,4,1,0
user0002,2024-05-12,9,8,0.889,1,2,1
user0234,2023-01-01,13,13,1.0,3,4,0
user0914,2023-11-19,11,9,0.818,2,1,1
user0158,2024-06-23,8,7,0.875,3,1,2
user0919,2024-06-16,12,10,0.833,1,1,0
user1331,2023-01-08,10,10,1.0,2,3,0
user0680,2023-02-26,17,17,1.0,2,1,1
user0417,2023-05-14,11,10,0.909,3,4,0
user1550,2023-08-06,13,13,1.0,2,3,1
user1799,2023-10-08,11,11,1.0,1,2,0
user1607,2023-10-01,17,14,0.824,2,2,0
user0222,2023-11-19,9,8,0.889,1,1,1
user1552,2023-09-17,19,15,0.789,3,3,2
user0579,2023-06-11,17,14,0.824,3,1,2
user0525,2023-12-24,11,11,1.0,3,1,1
user0389,2023-06-25,14,11,0.786,2,1,2
user1086,2023-07-09,16,9,0.562,1,1,2
user0604,2023-08-06,9,6,0.667,1,4,0
user0619,2023-09-03,10,9,0.9,2,3,0
user0605,2023-07-23,13,11,0.846,1,1,0
user1913,2023-09-17,7,6,0.857,1,2,0
user1910,2023-07-16,7,7,1.0,1,2,0
user0762,2024-05-26,15,14,0.933,2,2,0
user0765,2023-01-01,15,13,0.867,2,2,1
user0372,2023-06-11,12,11,0.917,1,1,0
user1267,2023-07-16,10,10,1.0,3,2,0
user0653,2023-06-18,14,14,1.0,1,1,2
user1053,2023-05-21,10,10,1.0,2,1,0
user1473,2024-01-07,3,3,1.0,2,2,0
user0986,2024-03-10,8,8,1.0,3,3,0
