user,week,logons,logoffs,unique_pcs,offhour_logons,file_ops,file_writes,bytes_total,usb_events,usb_mounts
user0650,2024-06-16,29,26,5,2,10,3,1200869,1,1
user0417,2023-04-30,5,5,1,0,10,4,1160362,0,0
user0227,2024-06-23,1,1,2,1,8,3,661177,1,0
user0574,2023-02-12,6,6,3,0,10,3,1761521,1,1
user0611,2024-03-17,7,6,2,0,9,3,2221534,0,0
user0242,2023-02-19,3,3,1,0,6,3,5612688,1,0
user1040,2024-04-28,2,2,4,1,6,4,574335,0,0
user1367,2023-08-20,6,5,2,0,13,3,1006620,2,2
user0791,2023-12-17,17,17,1,4,7,2,686423,0,0
user0965,2023-09-17,1,1,1,0,9,2,2308965,1,0
user0861,2023-01-15,2,2,1,1,10,4,2532041,0,0
user1053,2023-09-24,5,5,1,3,12,3,548828,1,1
user0600,2024-06-30,2,2,1,0,7,1,261711,0,0
user1396,2023-06-04,6,6,4,0,12,5,999918,1,1
user1228,2023-09-24,14,14,4,0,8,4,694739,0,0
user0452,2024-01-28,5,4,1,2,11,2,3209850,0,0
user1084,2023-02-12,2,2,3,1,7,5,1531507,0,0
user1375,2023-06-25,14,14,3,0,9,3,10315173,1,1
user0197,2023-11-19,14,14,1,0,14,3,2624841,0,0
user0111,2023-09-17,9,9,6,1,7,2,2552090,1,1
user1089,2024-05-12,19,16,3,0,11,4,703100,0,0
user0445,2023-03-12,2,2,1,0,6,0,4065171,0,0
user0677,2024-01-28,1,1,1,0,11,3,3503271,1,1
user0378,2023-07-30,3,3,2,0,7,2,6700505,0,0
user0397,2024-06-16,10,8,3,2,8,3,2347550,0,0
user1110,2024-01-14,17,16,4,0,12,2,623358,0,0
user0499,2023-02-12,27,26,5,0,10,4,499870,1,1
user0705,2023-01-29,4,4,2,0,9,4,4348553,1,1
user0961,2023-06-18,2,2,1,0,5,0,5491888,0,0
user1486,2023-12-31,9,9,2,1,9,6,260462,0,0
user0706,2023-07-23,18,16,3,0,6,2,2408562,1,1
user0056,2024-04-14,16,16,4,1,8,2,5615443,0,0
user0704,2023-09-17,4,4,2,0,8,2,4849241,0,0
user1064,2024-01-07,3,3,1,1,10,3,797139,0,0
user1151,2024-01-28,13,13,1,1,13,7,540636,1,1
user0525,2023-09-24,8,8,3,1,10,2,3554509,0,0
user1448,2023-06-25,7,6,4,2,7,2,6426474,0,0
user0203,2023-01-29,9,9,3,2,9,4,2445430,0,0
user1380,2023-07-09,3,2,3,1,12,6,1773261,1,1
user0918,2023-05-21,2,2,5,0,4,2,2940939,0,0
user1011,2023-12-31,9,9,3,0,9,1,884696,0,0
user0332,2024-06-16,0,0,1,0,10,2,4280061,2,1
user1375,2023-07-09,13,11,4,1,11,3,23314820,0,0
user1060,2024-05-26,1,1,3,0,5,0,349160,0,0
user1156,2023-11-19,3,3,1,0,7,2,1726796,0,0
user0895,2024-01-28,5,5,2,1,7,5,5765883,0,0
user1038,2024-01-14,5,4,1,1,7,4,1290357,1,1
user0921,2023-08-13,16,16,4,2,8,2,12577295,2,0
user0694,2023-12-03,0,0,2,0,13,5,3152584,2,1
user0780,2023-09-24,2,2,1,1,11,3,3468589,0,0
user0353,2023-09-10,8,7,2,0,9,3,1611368,1,0
user0990,2023-10-29,6,6,1,0,5,2,946177,1,1
user1167,2023-09-17,14,14,4,0,15,3,218498,0,0
user0934,2024-07-07,3,3,2,1,7,1,1380126,2,1
user0041,2023-02-19,14,14,4,1,10,3,975438,0,0
user0588,2023-07-23,5,5,1,0,7,1,320170,0,0
user0330,2024-04-28,5,5,1,0,11,4,3513677,0,0
user0940,2024-05-19,8,7,2,0,5,2,144553,0,0
user0285,2024-06-23,10,8,6,0,11,5,705678,1,1
user0718,2024-01-14,24,23,2,1,13,6,812541,1,0
user0954,2023-02-05,22,22,2,1,4,1,1849865,2,1
user0467,2023-11-19,1,1,4,0,7,3,1706367,0,0
user1096,2023-07-16,1,1,1,0,9,4,113065,0,0
user1054,2023-07-16,10,10,1,1,9,4,9229660,0,0
user0682,2024-06-30,6,6,7,0,14,4,288959,1,1
user1426,2023-03-26,5,4,1,0,9,4,236296,2,1
user1204,2023-10-08,10,10,1,0,7,0,577959,0,0
user0231,2023-01-29,13,11,3,0,10,4,4424321,0,0
user1125,2024-06-30,4,4,1,1,7,4,1422813,0,0
user0711,2023-01-15,6,6,1,0,10,2,9658398,0,0
user0649,2024-07-07,6,6,2,0,4,1,3434203,1,1
user0372,2024-03-03,7,7,3,1,12,2,605149,0,0
user0246,2024-02-04,21,19,4,4,3,1,13727786,0,0
user0503,2024-05-26,9,8,1,2,13,3,1388323,0,0
user0636,2023-11-05,9,9,5,1,9,2,470649,1,1
user0363,2024-05-12,9,9,1,1,11,1,3721801,0,0
user0756,2024-02-18,5,5,1,0,13,5,2021671,0,0
user1378,2024-04-28,24,23,5,2,7,3,2534394,2,1
user0526,2024-01-14,4,4,1,1,10,2,5302093,0,0
user1278,2023-10-29,0,0,1,0,6,1,780369,1,0
user1448,2023-10-01,6,6,5,0,11,3,116532,1,0
user0613,2023-04-23,11,10,3,0,7,2,3632846,0,0
user0552,2024-03-17,12,12,4,0,6,3,608859,2,2
user1318,2023-06-11,9,8,1,0,7,1,2973899,1,0
user0918,2023-10-29,3,3,2,0,6,3,1017370,1,1
user0477,2023-04-09,13,13,1,2,8,2,755452,1,1
user0585,2023-03-26,11,10,1,0,7,3,9381074,0,0
user1488,2023-12-24,2,2,2,0,6,3,231140,0,0
user1038,2023-02-26,7,7,3,1,13,7,5505272,0,0
user0131,2023-10-15,10,10,1,0,17,8,580078,2,0
user0410,2023-02-05,7,7,3,1,9,1,241197,1,1
user0709,2023-01-08,13,11,2,1,5,3,2382664,0,0
user0654,2023-06-04,6,5,2,1,6,3,3724308,0,0
user0356,2023-06-11,6,6,6,0,6,1,823903,0,0
user1263,2023-02-26,7,7,2,0,7,5,5479654,0,0
user1335,2023-03-12,9,9,1,1,10,5,2266747,0,0
user0636,2023-11-12,13,12,1,1,9,3,2000872,0,0
user0589,2023-11-05,4,3,1,0,8,3,2442935,0,0
user0708,2023-07-30,3,3,1,0,5,1,4165210,1,1
user1470,2023-07-30,12,11,1,3,9,3,927264,1,0
user0565,2023-01-08,12,12,4,1,7,2,554642,0,0
user1470,2023-03-05,9,8,3,0,11,3,9092675,1,1
user0709,2023-10-22,9,9,1,0,9,4,1985578,0,0
user0679,2023-12-10,2,2,1,0,5,1,7580998,0,0
user0421,2023-04-16,19,18,5,1,7,2,1009228,0,0
user1258,2023-05-07,2,2,1,0,7,1,1639667,1,1
user0236,2024-05-12,8,8,4,0,17,6,2593359,3,2
user0184,2023-05-21,13,11,1,0,8,5,4609131,0,0
user1497,2023-06-18,13,12,4,1,7,1,5179396,0,0
user1449,2023-04-23,5,4,1,0,10,5,3955283,0,0
user1205,2023-03-05,3,3,1,0,11,4,1686616,1,1
user0078,2023-01-08,13,13,4,2,7,2,6779983,0,0
user0798,2023-02-26,5,5,1,0,7,3,4888051,0,0
user1432,2023-12-10,3,3,1,0,10,3,743472,0,0
user1214,2023-10-08,19,18,4,1,13,4,4400387,0,0
user0406,2023-10-01,0,0,1,0,7,1,2006627,0,0
user0636,2023-09-10,12,12,1,2,4,3,1714341,0,0
user0250,2023-05-28,12,10,2,0,11,3,1244191,1,0
user1340,2024-05-12,4,4,1,0,5,3,2636391,0,0
user0676,2023-04-09,12,12,2,3,11,2,955629,0,0
user0112,2024-03-10,19,18,3,2,8,3,3612783,1,1
user0998,2023-04-02,11,11,1,0,11,6,495497,1,1
user1237,2023-10-15,5,5,2,0,9,7,939365,1,0
user0862,2023-04-23,5,4,1,0,9,2,16603357,2,1
user0921,2024-07-07,14,13,3,1,5,2,10481678,0,0
user0137,2023-06-04,13,13,3,1,9,4,1217613,2,1
user0974,2023-07-09,2,2,1,0,9,3,7637625,1,1
user0617,2024-03-03,10,9,4,1,8,3,2280112,1,0
user1263,2024-02-25,6,3,1,1,5,1,414328,0,0
user0509,2023-04-16,4,4,1,0,14,4,4913166,0,0
user1379,2024-01-28,3,3,2,0,11,3,2051398,0,0
user0369,2024-04-07,4,4,1,0,4,0,277056,0,0
user0079,2023-10-08,26,24,4,1,9,4,1215330,0,0
user0282,2023-10-29,3,3,2,0,7,2,1062239,0,0
user1241,2023-05-28,7,7,1,1,13,8,1982839,3,2
user1124,2023-09-24,11,11,4,1,10,2,5956711,2,2
user1436,2023-03-26,6,6,2,0,13,3,514895,0,0
user1186,2024-02-11,16,15,1,2,8,1,1662737,0,0
user0267,2023-03-26,3,2,1,0,7,2,2685690,0,0
user0213,2024-05-12,4,4,2,1,6,1,3966242,0,0
user1087,2024-03-17,4,4,2,1,8,0,2997125,0,0
user0428,2023-02-19,22,21,2,3,13,5,1054031,1,1
user0175,2023-06-18,4,4,4,0,9,5,1133775,2,1
user0816,2023-08-06,4,4,1,0,7,2,775319,0,0
user1037,2023-09-17,3,3,1,0,7,2,561493,0,0
user1450,2023-11-05,15,14,3,0,15,4,1186088,0,0
user0213,2023-03-26,3,2,2,0,9,2,1505856,0,0
user1346,2023-11-05,1,1,3,0,8,4,2980688,1,1
user1199,2024-06-23,2,2,1,0,7,3,4358917,0,0
user1248,2023-11-26,6,6,1,0,5,1,6026264,0,0
user0189,2023-07-02,5,5,2,0,6,2,503589,0,0
user0738,2023-06-18,19,19,2,0,8,3,8594059,0,0
user0751,2024-07-07,8,8,1,0,8,3,974323,1,1
user0621,2023-04-23,20,17,1,3,9,1,5085750,0,0
user1445,2024-01-07,19,18,2,1,8,2,993335,0,0
user1115,2023-04-02,2,2,1,0,5,1,8862043,0,0
user1419,2024-01-21,17,16,2,0,7,4,1240185,0,0
user0831,2023-09-24,5,4,1,0,6,4,1274839,0,0
user1342,2023-11-19,10,10,1,0,5,2,401269,0,0
user1000,2023-01-01,9,9,4,1,4,1,1449401,0,0
user0447,2023-10-01,4,4,1,0,5,2,1597554,0,0
user0852,2023-03-05,5,4,1,0,10,2,1664518,0,0
user1192,2024-05-05,4,4,2,0,8,5,2995200,0,0
user0593,2023-06-11,9,8,2,2,1,0,3981907,0,0
user0261,2023-08-13,10,10,3,0,8,1,1681196,0,0
user0200,2024-03-31,19,19,3,0,7,1,2859972,0,0
user0815,2024-01-28,10,8,4,0,3,1,1977011,0,0
user0908,2023-09-24,11,10,1,1,11,4,3272900,0,0
user1037,2024-06-23,2,2,1,0,7,1,3971108,0,0
user0177,2023-12-31,3,3,2,0,8,4,1440673,3,3
user0757,2024-05-12,6,6,2,0,10,6,417978,1,1
user1462,2023-02-19,13,12,1,0,8,5,1725346,0,0
user1211,2023-04-09,15,15,1,1,9,3,1380759,0,0
user0063,2024-04-07,17,16,5,2,11,3,2546838,0,0
user1345,2024-01-28,13,13,4,1,9,4,1399358,0,0
user0045,2023-01-22,4,4,1,0,9,2,1966769,0,0
user0523,2024-04-21,21,21,3,0,10,4,5299251,0,0
user1322,2023-01-29,16,15,2,0,12,4,1446707,1,1
user0417,2024-05-12,9,9,3,1,10,3,671766,0,0
user0747,2023-11-05,16,16,3,0,15,2,17025893,0,0
user1448,2023-10-08,13,13,4,2,14,5,2177117,0,0
user1203,2023-01-01,12,12,3,2,8,5,5524471,0,0
user0638,2023-11-12,2,2,1,2,7,4,1347806,0,0
user0260,2024-03-24,9,9,2,0,7,0,1116890,1,1
user0618,2023-01-01,3,3,1,0,7,1,1115793,0,0
user1275,2024-06-30,0,0,1,0,15,6,1207868,1,1
user0037,2023-07-30,22,21,1,3,11,2,1207391,0,0
user0302,2024-03-24,4,4,2,0,6,3,1131693,0,0
user0592,2024-01-14,9,8,1,1,6,0,1035623,0,0
user0272,2024-07-07,7,7,2,0,5,2,3032544,0,0
user0244,2024-03-24,2,2,3,0,7,3,1340842,2,1
user0172,2023-11-19,5,5,4,1,7,2,1886333,0,0
user1301,2024-06-30,2,2,2,0,14,4,1366515,2,0
user0663,2023-07-23,9,9,4,2,12,4,2294241,1,1
user0417,2023-10-22,7,6,2,0,14,3,4248568,2,2
user1158,2023-12-10,5,4,3,0,9,2,8940432,0,0
user1198,2024-06-30,4,2,1,0,10,5,1994035,1,0
user0953,2023-10-22,0,0,2,0,2,1,11437979,1,1
user0334,2023-01-08,13,12,3,1,9,3,707830,0,0
user1249,2023-12-17,3,3,1,0,12,6,4378696,3,3
user0581,2023-11-26,14,13,1,1,7,4,3781441,1,0
user1267,2023-01-08,4,4,1,1,16,6,3089182,1,1
user1003,2023-09-10,6,6,7,0,9,4,797224,0,0
user0471,2023-12-10,16,16,4,1,8,3,1041983,1,1
user1095,2023-01-29,10,9,3,2,6,2,390437,0,0
user1448,2023-08-27,8,8,1,1,5,2,781831,0,0
user1312,2023-02-26,18,18,2,1,7,2,2322720,0,0
user1102,2023-07-16,9,8,4,1,13,5,6825671,1,0
user1474,2024-01-28,8,6,1,2,7,1,2025279,0,0
user0228,2023-07-30,5,5,1,0,8,1,1340217,1,1
user0835,2023-06-25,7,7,2,0,3,2,7270228,0,0
user0870,2023-02-05,12,11,1,1,7,5,5423569,1,1
user0360,2023-02-19,14,11,5,0,6,0,5826481,0,0
user0601,2023-08-13,8,7,2,1,8,3,424654,0,0
user1419,2024-03-17,18,16,2,1,13,4,208228,0,0
user0824,2023-04-02,6,5,1,0,6,3,4235229,0,0
user0969,2023-08-27,2,2,1,0,6,2,1517543,2,2
user0479,2023-03-19,9,9,3,1,7,3,4811934,0,0
user0997,2023-02-26,15,15,2,1,12,2,7829206,0,0
user0200,2023-10-29,19,17,4,1,13,6,27646633,2,1
user0139,2023-08-27,6,5,4,0,5,2,420559,0,0
user1293,2023-10-15,1,1,3,0,5,0,4988274,0,0
user0043,2024-03-31,12,10,4,1,11,4,3668542,1,0
user0689,2024-01-21,3,3,1,0,8,3,257346,0,0
user0996,2023-06-25,12,11,4,1,9,3,345420,0,0
user0914,2023-03-26,10,10,4,1,12,5,1733077,0,0
user0651,2023-07-16,12,12,4,0,11,1,820809,1,0
user0296,2023-11-12,16,14,3,0,7,3,310742,1,1
user1149,2023-10-22,10,10,2,0,8,5,2818964,0,0
user0565,2024-06-23,14,12,1,1,13,5,987096,1,1
user1228,2023-10-01,16,15,1,0,11,2,2927374,0,0
user0027,2023-08-20,1,1,2,0,10,2,1254223,0,0
user0467,2024-06-23,0,0,1,0,9,6,1726431,0,0
user1484,2023-01-08,14,13,3,1,8,3,6137526,0,0
user1447,2023-07-30,11,11,1,2,9,3,1901008,0,0
user0978,2023-01-22,8,8,1,0,11,5,763260,1,0
user1443,2023-09-03,8,7,5,0,6,2,720996,0,0
user0487,2023-02-05,3,3,1,0,6,3,562393,0,0
user0481,2023-12-31,5,5,4,1,4,1,1345346,1,1
user0199,2023-06-11,6,6,1,1,10,5,3941601,1,1
user1492,2023-02-12,9,9,1,0,8,6,5075375,0,0
user0636,2023-06-25,15,14,3,0,6,3,18775482,0,0
user0685,2023-05-28,14,13,3,1,11,1,1554651,0,0
user1271,2023-06-11,8,7,1,1,11,7,1939433,2,2
user1183,2023-06-18,13,13,2,2,8,5,221808,0,0
user0433,2023-09-24,1,1,1,0,11,3,1097661,0,0
user1024,2023-07-23,1,1,1,0,10,1,5692523,0,0
user0718,2023-08-06,25,23,3,0,10,4,12503364,0,0
user1226,2023-02-12,1,1,1,0,5,2,3528960,0,0
user0751,2023-01-01,9,9,3,0,6,4,4536538,0,0
user1353,2023-07-23,10,9,2,0,7,3,1950944,0,0
user0029,2023-03-12,5,5,2,0,8,3,457443,0,0
user0042,2023-07-02,5,5,1,0,10,1,3684982,0,0
user0920,2023-07-16,16,13,4,2,8,1,1065034,1,0
user0721,2023-12-24,4,4,2,0,8,4,4094669,1,0
user1300,2024-07-07,8,8,3,0,8,3,2129923,0,0
user0915,2024-05-26,3,2,2,0,8,5,728906,0,0
user1052,2023-09-24,8,8,2,2,10,3,1508694,0,0
user0475,2024-06-30,12,10,3,0,7,1,7000851,0,0
user0694,2024-06-02,7,7,3,2,7,3,6410968,0,0
user1410,2023-09-10,4,4,3,0,10,3,740732,0,0
user1219,2023-05-28,7,7,1,1,7,3,4375803,0,0
user0649,2024-02-11,8,8,4,0,9,3,4006014,0,0
user0689,2024-02-25,3,3,1,1,9,4,3724586,0,0
user1304,2023-04-09,20,20,3,1,9,4,4383403,0,0
user0505,2023-09-03,12,11,2,1,5,2,1017087,0,0
user1085,2024-04-07,3,3,1,0,12,6,738182,0,0
user0782,2023-07-09,3,3,1,0,8,2,117525,0,0
user0457,2023-07-23,18,17,2,0,7,1,4757378,2,2
user0881,2023-01-29,1,1,1,0,10,3,3246734,0,0
user1322,2023-03-12,8,8,5,1,12,5,557049,0,0
user1173,2023-10-29,21,19,1,2,10,2,1210292,0,0
user1352,2023-05-07,25,23,3,3,10,6,3227802,0,0
user0048,2023-09-03,10,10,1,1,17,7,1170355,1,1
user0542,2024-02-25,8,7,3,1,11,5,2399920,0,0
user1038,2024-05-12,12,12,1,1,6,0,654553,0,0
user1084,2024-01-14,2,1,2,0,11,1,2534676,0,0
user0378,2023-05-07,5,4,1,1,9,4,4836179,1,0
user0688,2024-04-14,3,3,3,0,6,3,2856642,0,0
user0629,2024-06-30,7,7,2,0,11,3,1146302,0,0
user0266,2024-01-14,5,5,4,0,8,2,2494941,0,0
user0124,2023-09-03,22,20,7,3,4,3,7343190,0,0
user0620,2023-04-09,10,9,1,2,4,1,1498000,0,0
user0558,2024-03-03,7,7,1,2,9,6,5587198,1,1
user0169,2023-10-15,8,6,3,2,6,2,2148051,0,0
user0316,2024-05-26,4,4,1,0,10,6,335542,2,1
user0571,2024-04-14,4,4,4,0,6,3,3104186,1,1
user1409,2023-08-27,5,5,1,1,4,1,1953309,0,0
user0928,2024-06-16,26,24,2,0,10,4,266548,0,0
user1007,2023-02-26,7,7,1,0,9,5,364417,0,0
user0068,2023-12-24,2,2,1,0,9,3,1856624,0,0
user1165,2023-03-05,10,10,4,1,4,1,2966289,0,0
user0815,2024-06-09,10,10,4,0,9,2,3007220,0,0
user0229,2024-01-14,12,12,3,1,6,4,3532833,0,0
user1407,2023-01-22,10,8,5,1,9,3,1877473,0,0
user1273,2023-10-29,2,2,2,0,7,2,2788328,0,0
user0948,2024-05-05,24,22,1,0,11,7,2878842,0,0
user0025,2024-06-30,8,8,5,0,13,6,279640,2,2
user0107,2023-11-05,13,11,1,0,13,6,121449,0,0
user0178,2023-06-04,24,23,2,1,13,4,240852,1,1
user0602,2024-06-23,2,2,1,0,8,0,14876055,1,1
user0958,2023-12-24,4,4,3,0,10,2,1026107,2,2
user0552,2024-04-21,9,9,2,1,6,3,505276,0,0
user1052,2023-06-18,10,10,4,1,7,3,1034569,0,0
user1372,2023-12-03,12,12,1,0,7,4,943536,1,1
user0760,2024-03-24,0,0,1,0,8,3,833017,0,0
user1456,2024-06-30,8,7,2,0,10,3,2295292,0,0
user0812,2023-10-01,12,12,2,1,11,4,672474,0,0
user1333,2023-01-29,6,6,3,0,14,2,1827340,1,1
user1204,2023-09-10,10,9,4,1,5,2,4367839,0,0
user1041,2023-06-11,3,3,2,0,4,2,1881448,0,0
user0128,2024-03-17,9,9,1,2,16,5,1373593,0,0
user0252,2023-10-22,9,9,4,0,13,2,305245,0,0
user0335,2023-07-16,13,13,1,1,8,2,406840,0,0
user0497,2023-09-24,2,2,3,0,8,1,900783,1,1
user0491,2023-07-02,16,15,3,0,12,2,2601911,1,0
user0905,2024-05-05,3,3,5,0,9,1,2043492,0,0
user1446,2023-11-19,1,1,1,0,16,6,2064321,2,2
user1052,2023-12-10,15,14,1,2,8,2,9673445,0,0
user1120,2023-12-24,8,8,1,1,8,1,6061649,0,0
user0939,2023-01-01,8,7,1,1,6,1,3296215,1,1
user1267,2024-03-03,3,3,1,0,4,2,301786,0,0
user0236,2024-05-26,9,8,2,1,7,4,592077,0,0
user1399,2024-03-03,16,15,2,1,7,2,1813525,0,0
user0562,2023-09-24,9,8,3,0,11,2,1954277,0,0
user0751,2023-02-26,11,11,2,1,5,0,1415338,0,0
user0368,2023-04-09,29,28,5,1,5,1,315874,1,0
user0399,2023-07-09,0,0,1,0,5,3,2323803,0,0
user1190,2023-09-24,13,13,1,0,14,4,5361059,1,1
user1442,2023-12-03,15,14,3,1,11,3,454550,2,1
user0761,2023-05-07,3,3,1,0,11,7,560058,1,1
user0573,2024-01-21,21,21,4,1,5,0,1653903,0,0
user0828,2024-03-03,4,4,1,0,6,1,742070,0,0
user0624,2023-07-09,12,11,1,1,10,3,848212,0,0
user0467,2023-12-24,1,1,1,0,17,10,1701400,1,1
user1234,2024-05-26,8,6,4,0,12,4,7716762,1,1
user1373,2023-03-05,4,4,1,0,7,5,2759667,0,0
user0329,2024-02-25,2,1,2,0,9,4,2599486,1,1
user0539,2024-03-03,9,9,1,1,13,4,7896597,0,0
user0072,2023-12-24,6,6,1,0,9,3,4134040,1,1
user0926,2024-04-07,19,18,2,2,6,3,708646,0,0
user0505,2023-12-17,20,19,2,2,8,3,3915183,1,1
user1152,2023-09-03,9,9,1,0,9,2,7478077,0,0
user1067,2023-07-30,10,8,4,2,4,2,1089119,0,0
user0748,2023-02-05,4,3,1,1,14,2,3429301,0,0
user0970,2024-06-02,8,8,1,1,10,1,2893394,1,1
user0674,2023-02-05,4,4,1,1,5,2,4366172,0,0
user0346,2023-04-02,2,2,2,2,8,1,4096839,1,1
user1081,2023-08-27,10,9,5,0,14,4,4238610,0,0
user1200,2023-10-22,5,4,2,2,7,2,1386712,0,0
user0990,2023-01-29,7,6,3,1,13,5,718798,0,0
user0120,2023-09-17,12,11,4,1,10,3,191341,1,0
user0795,2023-03-26,5,5,2,0,8,4,1173289,1,1
user1421,2023-08-20,11,10,1,0,8,1,156718,0,0
user0232,2023-02-12,20,19,1,1,7,3,608683,1,1
user0655,2023-02-19,4,4,2,0,8,1,2165179,1,0
user1109,2023-01-29,4,3,3,2,11,7,2542975,0,0
user0907,2023-02-12,19,19,3,4,9,4,1051661,0,0
user0428,2023-03-19,22,21,3,4,3,1,688003,0,0
user1200,2023-03-05,7,7,2,0,13,7,653430,0,0
user1452,2023-02-19,13,13,1,2,9,2,3681043,0,0
user0330,2024-02-11,5,5,2,0,11,3,1211344,1,0
user0677,2023-05-07,1,1,2,0,5,3,1810926,0,0
user0650,2024-02-11,17,17,4,1,9,1,1913483,0,0
user1430,2023-10-08,7,7,3,1,6,2,334066,0,0
user1094,2023-10-29,20,19,2,3,5,2,8755903,0,0
user0453,2024-04-21,10,10,2,1,10,3,4100307,1,0
user0857,2024-03-03,10,10,1,0,4,1,31599416,0,0
user0669,2023-08-20,9,9,4,1,4,1,14588460,0,0
user1428,2023-11-12,10,8,3,2,11,3,12701284,3,2
user1211,2023-10-01,13,11,3,1,13,4,3323022,0,0
user1464,2024-04-07,6,6,4,0,7,3,1803168,0,0
user0477,2023-12-31,12,10,2,0,7,2,1802571,0,0
user0264,2023-05-14,15,15,2,1,7,3,486132,1,1
user0267,2023-01-08,10,8,1,0,8,3,3063346,1,1
user0500,2023-07-16,9,9,1,1,4,2,2711776,0,0
user1383,2024-03-31,6,4,4,0,10,5,1430567,0,0
user0386,2023-09-10,12,11,4,1,9,2,1368433,1,1
user0525,2023-12-10,14,13,3,1,7,5,2958451,0,0
user0802,2023-01-22,8,8,2,0,7,4,2206173,0,0
user1309,2023-05-28,5,5,1,1,4,1,639658,0,0
user1236,2023-03-26,8,8,2,2,10,3,1524906,2,0
user0541,2023-06-25,9,9,1,1,4,1,768713,0,0
user0316,2023-12-31,13,11,1,0,9,6,653839,0,0
user0045,2023-05-07,1,1,1,0,7,4,1815711,0,0
user0279,2023-06-18,7,7,3,0,11,5,749512,0,0
user0202,2023-01-29,5,5,3,1,10,3,2973850,0,0
user0729,2023-03-12,8,8,3,0,6,1,8317745,0,0
user0296,2024-06-16,16,15,2,0,10,4,531404,0,0
user0322,2024-06-23,7,7,1,2,11,2,4870095,1,1
user1181,2023-07-02,14,14,4,2,14,3,2440213,1,1
user0011,2023-06-25,9,8,2,2,11,3,5441792,2,0
user0236,2023-09-17,5,5,1,0,16,5,4901279,0,0
user1391,2023-06-04,1,1,2,0,8,4,893027,1,1
user0599,2024-06-30,2,2,1,0,10,2,787772,0,0
user0081,2023-05-28,11,10,2,0,9,3,477314,1,1
