user,week,emails,mean_len,kw_hits
user0557,2023-10-29,13,81.3,0
user0671,2024-05-05,19,289.0,1
user0534,2024-05-19,22,562.9,3
user0109,2023-05-21,14,30.0,0
user0705,2023-12-17,18,270.8,0
user0298,2023-08-20,19,240.1,2
user0718,2024-03-31,17,360.4,1
user0178,2024-07-07,15,153.7,0
user0238,2024-02-25,18,229.6,0
user0182,2024-05-05,15,336.6,1
user0490,2023-03-19,15,76.5,0
user0508,2023-03-26,13,163.8,0
user0325,2023-11-05,18,257.4,1
user0640,2024-04-21,19,294.9,0
user0314,2023-04-30,14,154.4,1
user0044,2024-06-09,16,268.7,1
user0662,2023-07-23,12,308.8,1
user0643,2023-08-06,20,244.8,0
user0149,2023-07-02,17,227.6,1
user0647,2023-08-27,14,326.7,0
user0539,2023-11-19,5,213.9,0
user0477,2023-08-13,12,193.3,0
user0194,2023-02-26,13,333.7,1
user0646,2023-06-11,14,193.1,0
user0744,2023-12-10,13,205.3,1
user0420,2023-12-10,16,258.9,0
user0767,2023-07-30,13,404.4,0
user0045,2024-03-31,14,380.0,0
user0028,2024-04-14,15,309.7,0
user0109,2024-01-28,17,194.7,0
user0484,2023-01-15,23,248.5,0
user0569,2024-02-18,14,337.9,2
user0071,2023-01-29,17,314.2,1
user0198,2023-07-23,16,274.0,0
user0237,2023-09-24,18,434.0,0
user0130,2023-07-30,17,138.6,0
user0403,2024-03-10,19,428.6,1
user0461,2023-05-14,9,199.3,0
user0261,2024-02-04,16,344.2,2
user0341,2024-06-02,21,228.5,0
user0549,2023-10-29,14,354.6,0
user0201,2023-10-08,13,189.3,0
user0485,2024-03-03,12,320.5,1
user0796,2024-06-23,13,241.0,0
user0644,2023-07-23,21,141.1,0
user0203,2024-06-30,13,288.1,1
user0466,2023-11-05,11,323.0,0
user0159,2024-06-23,16,258.4,0
user0104,2024-02-18,12,271.9,1
user0157,2024-03-24,15,213.1,0
user0757,2023-03-12,8,367.0,1
user0254,2024-01-28,16,177.7,1
user0214,2023-10-29,19,504.7,4
user0107,2024-01-07,17,364.7,1
user0429,2024-06-09,13,265.7,0
user0259,2023-01-29,13,308.3,1
user0370,2023-10-15,11,288.5,0
user0307,2023-10-29,15,254.8,3
user0795,2023-04-02,14,255.4,1
user0185,2023-06-04,19,234.9,1
user0689,2024-06-23,17,303.6,0
user0567,2023-09-10,13,396.8,0
user0418,2023-10-22,15,242.3,0
user0709,2023-09-17,13,246.1,0
user0435,2023-04-16,22,236.3,0
user0538,2023-03-26,14,191.7,0
user0733,2024-01-14,11,314.8,2
user0196,2023-12-17,17,148.4,0
user0386,2023-10-22,17,267.3,1
user0161,2024-05-05,16,238.7,0
user0172,2023-02-26,8,254.2,0
user0559,2023-04-23,12,250.0,0
user0549,2024-06-16,21,137.9,0
user0358,2024-01-07,15,159.6,0
user0396,2023-07-16,11,276.6,0
user0085,2023-12-10,14,281.4,0
user0316,2023-07-16,11,225.8,0
user0124,2023-03-05,13,172.5,0
user0112,2024-05-12,10,218.9,0
user0331,2024-04-28,8,321.1,0
user0509,2023-11-26,25,307.2,2
user0094,2023-05-07,17,282.0,1
user0718,2023-08-06,15,330.8,1
user0487,2023-06-11,16,392.3,0
user0311,2023-03-05,17,413.9,2
user0555,2023-03-12,19,200.4,0
user0360,2023-01-22,15,218.7,1
user0112,2024-03-17,15,299.7,0
user0759,2024-01-07,20,179.1,0
user0344,2023-04-16,15,305.2,0
user0718,2023-04-16,11,219.8,0
user0645,2023-01-15,14,323.6,3
user0333,2023-01-22,19,401.7,3
user0470,2023-06-25,11,282.9,0
user0402,2024-01-07,16,329.2,1
user0546,2024-01-14,13,373.1,0
user0521,2023-05-21,17,320.3,1
user0167,2024-02-11,17,230.2,2
user0434,2023-11-19,10,324.9,1
user0013,2023-12-31,12,322.1,1
user0259,2023-02-12,15,344.8,3
user0633,2024-06-09,14,175.6,1
user0533,2023-08-20,16,196.3,0
user0517,2024-06-30,16,230.1,0
user0706,2023-08-06,12,209.3,1
user0132,2024-06-16,14,235.8,2
user0795,2024-07-07,16,333.3,0
user0766,2023-05-14,18,202.4,0
user0124,2023-09-10,17,414.3,4
user0260,2024-04-21,19,234.4,1
user0588,2023-01-15,17,273.7,1
user0685,2023-02-26,18,269.4,0
user0448,2023-01-29,22,463.4,0
user0255,2023-03-26,16,30.0,0
user0308,2023-12-17,12,362.2,1
user0222,2023-07-02,15,372.2,1
user0675,2023-10-08,17,313.6,1
user0432,2023-01-15,21,217.5,0
user0358,2024-05-19,14,297.8,0
user0783,2024-06-02,17,263.8,0
user0153,2024-05-19,8,340.7,0
user0575,2024-05-05,12,334.5,1
user0116,2023-04-16,20,351.4,2
user0161,2023-05-07,6,169.6,0
user0243,2024-03-31,15,152.6,1
user0398,2024-03-17,14,200.5,0
user0588,2023-04-02,9,245.2,0
user0565,2023-04-23,15,263.3,1
user0191,2023-07-09,13,223.5,0
user0498,2023-07-23,13,269.6,1
user0534,2023-06-25,17,283.6,0
user0173,2024-03-03,12,278.6,0
user0797,2023-02-19,21,346.4,2
user0424,2023-03-05,18,316.4,1
user0570,2024-01-14,18,278.2,0
user0774,2023-12-17,13,346.6,2
user0597,2023-07-09,12,280.1,0
user0454,2024-04-14,20,478.5,3
user0248,2023-05-21,25,360.0,2
user0795,2023-12-24,15,240.6,0
user0505,2023-11-12,17,119.3,1
user0406,2024-06-23,16,316.3,0
user0049,2023-01-01,12,248.6,0
user0378,2024-06-02,15,196.5,1
user0779,2023-07-23,13,181.0,1
user0261,2023-04-09,19,449.9,2
user0137,2023-01-15,17,224.3,0
user0027,2023-06-04,21,326.8,3
user0127,2023-05-07,17,187.7,0
user0108,2023-04-30,18,195.8,0
user0691,2023-11-26,15,529.9,5
user0276,2024-01-07,24,431.3,2
user0570,2024-04-14,11,160.5,0
user0604,2023-01-01,14,316.4,0
user0676,2023-03-26,13,480.5,1
user0313,2023-10-08,12,400.1,4
user0025,2023-06-18,23,239.1,0
user0630,2024-05-12,12,322.4,0
user0247,2023-05-14,8,247.7,0
user0242,2023-06-04,11,331.6,2
user0496,2023-09-03,14,321.6,1
user0640,2024-02-25,16,166.1,0
user0577,2023-04-23,14,474.1,1
user0130,2023-07-16,14,258.0,0
user0224,2023-09-03,17,204.9,0
user0230,2023-10-15,14,416.5,3
user0095,2023-10-08,14,212.1,0
user0224,2023-04-23,14,351.6,1
user0017,2024-04-07,11,177.8,1
user0509,2023-10-29,11,310.8,0
user0252,2023-01-08,21,325.6,0
user0746,2023-06-04,14,298.9,4
user0237,2023-05-21,16,245.2,2
user0515,2023-01-22,14,331.8,0
user0130,2024-06-09,18,154.3,0
user0447,2023-04-23,19,199.0,0
user0763,2023-01-29,20,230.9,0
user0363,2024-03-31,11,331.4,0
user0737,2024-01-28,13,334.8,0
user0079,2023-09-10,18,255.4,0
user0243,2023-12-31,14,267.9,0
user0495,2024-06-09,15,309.7,2
user0772,2023-03-05,21,321.4,0
user0140,2023-04-23,19,156.2,0
user0607,2024-06-16,11,211.3,1
user0428,2023-01-08,13,326.9,0
user0790,2023-04-16,18,292.1,0
user0163,2024-07-07,18,195.9,0
user0349,2023-12-24,21,255.2,1
user0113,2023-08-13,17,267.4,0
user0042,2023-09-24,11,267.0,1
user0579,2024-04-14,18,140.5,0
user0476,2023-06-18,14,225.9,0
user0438,2023-08-06,14,327.8,0
user0195,2023-01-22,15,208.1,0
user0102,2024-01-28,21,321.9,3
user0373,2023-09-24,13,363.9,3
user0611,2023-08-20,18,213.2,0
user0117,2023-12-10,12,422.2,0
user0322,2023-07-09,16,298.2,0
user0254,2023-04-02,10,220.4,0
user0259,2023-06-18,20,232.2,0
user0374,2024-02-04,17,333.9,0
user0198,2023-11-26,22,343.1,1
user0423,2024-05-19,14,298.6,0
user0428,2023-07-02,12,388.2,3
user0505,2023-06-18,14,219.7,0
user0760,2024-07-07,26,206.3,0
user0584,2023-03-12,11,268.0,0
user0404,2024-07-07,14,208.2,0
user0773,2023-10-29,16,191.3,0
user0171,2024-04-14,12,186.7,0
user0708,2023-02-05,19,361.5,1
user0423,2024-03-31,12,395.5,0
user0456,2023-06-04,16,349.6,1
user0283,2024-04-21,11,387.2,0
user0685,2024-01-21,21,346.4,1
user0123,2023-06-11,27,291.8,0
user0722,2023-04-02,19,495.4,1
user0144,2023-06-18,18,438.2,4
user0118,2023-11-05,17,216.1,0
user0095,2024-01-28,11,308.3,1
user0195,2024-01-07,15,262.8,0
user0394,2023-01-22,19,311.5,2
user0046,2023-01-15,13,497.5,1
user0008,2024-03-03,17,322.1,0
user0276,2024-03-17,27,199.1,0
user0133,2024-02-11,13,353.4,1
user0424,2024-04-28,7,358.3,1
user0632,2023-12-31,19,414.7,1
user0236,2023-04-30,15,317.2,1
user0389,2024-04-28,17,259.5,1
user0274,2023-12-10,21,133.9,0
user0680,2024-06-16,12,351.7,0
user0091,2023-04-02,10,359.8,1
user0377,2023-07-09,12,391.5,1
user0215,2023-03-12,11,222.9,1
user0343,2024-01-21,14,295.7,3
user0328,2023-12-03,14,529.2,2
user0750,2023-02-05,12,319.5,1
user0424,2023-04-02,10,270.1,0
user0166,2023-05-07,13,287.7,1
user0425,2023-11-26,10,267.5,0
user0176,2023-09-03,16,280.2,1
user0533,2024-03-10,11,292.9,0
user0298,2024-06-30,18,70.7,1
user0671,2024-01-07,17,551.0,3
user0738,2024-01-14,8,264.1,0
user0280,2024-05-26,10,397.0,0
user0735,2023-02-19,10,255.9,0
user0126,2023-08-27,19,389.5,0
user0743,2023-10-15,16,250.1,1
user0622,2023-10-29,27,338.9,2
user0320,2024-02-18,18,273.7,0
user0480,2024-05-26,11,178.2,0
user0009,2023-07-23,18,258.3,1
user0382,2023-09-17,10,218.1,0
user0297,2024-06-02,14,377.3,2
user0704,2023-12-24,17,346.1,0
user0669,2023-06-18,27,334.9,2
user0112,2023-07-02,17,266.9,0
user0435,2023-12-31,8,228.2,0
user0636,2024-06-23,21,227.0,1
user0265,2024-06-16,13,285.9,0
user0368,2023-08-06,17,389.8,1
user0534,2024-05-12,16,202.1,0
user0150,2023-01-29,9,98.4,0
user0161,2023-09-24,15,298.1,0
user0064,2024-03-10,10,143.2,0
user0302,2024-06-30,15,178.8,0
user0607,2023-10-08,20,149.7,0
user0786,2023-10-29,15,296.2,0
user0308,2023-08-06,18,259.1,2
user0016,2024-03-17,10,374.0,0
user0540,2023-08-20,17,288.4,0
user0417,2023-01-29,15,483.6,3
user0303,2024-07-07,12,184.9,0
user0067,2024-04-07,8,410.4,2
user0306,2024-03-24,15,232.8,0
user0222,2023-12-03,18,111.3,0
user0686,2024-02-11,14,404.3,1
user0101,2024-05-05,15,180.8,1
user0424,2023-03-26,14,226.7,1
user0428,2023-05-14,20,242.8,1
user0185,2023-01-29,18,317.1,1
user0755,2024-03-31,15,188.3,0
user0602,2023-07-09,15,114.6,1
user0290,2023-06-04,15,501.2,3
user0701,2023-03-26,18,424.4,1
user0244,2023-10-29,20,488.6,3
user0481,2023-10-22,16,175.3,1
user0387,2023-10-15,19,253.5,0
user0236,2024-01-28,12,289.8,0
user0125,2023-12-10,16,224.5,0
user0409,2023-06-11,18,285.6,0
user0267,2024-02-04,8,307.0,0
user0438,2023-04-09,18,364.7,0
user0398,2023-09-17,18,361.6,0
user0629,2023-04-30,14,187.3,0
user0053,2023-11-05,10,202.9,0
user0134,2023-08-06,18,325.5,1
user0252,2023-09-17,20,291.2,1
user0113,2023-12-31,13,156.7,0
user0314,2023-04-23,15,426.9,2
user0550,2023-03-26,13,428.0,2
user0739,2024-06-30,13,106.4,0
user0460,2024-03-31,17,382.3,3
user0106,2023-09-17,13,203.9,0
user0565,2023-08-13,20,210.8,3
user0371,2023-01-22,13,237.9,1
user0011,2023-12-10,8,265.0,2
user0718,2024-01-28,14,418.3,2
user0171,2023-01-22,13,292.7,2
user0144,2024-03-24,8,282.4,0
user0664,2024-06-02,15,110.7,0
user0778,2024-01-14,17,177.4,0
user0642,2023-04-23,17,184.8,0
user0599,2023-03-26,15,230.8,0
user0149,2023-10-29,17,262.7,0
user0745,2023-02-05,17,153.4,0
user0686,2024-06-09,13,259.2,0
user0692,2023-12-31,18,150.0,1
user0679,2023-12-24,14,209.6,0
user0560,2023-07-09,14,231.5,0
user0488,2024-05-12,13,359.9,0
user0589,2023-03-12,11,265.1,0
user0103,2023-05-07,11,313.3,0
user0649,2023-12-03,25,405.7,1
user0682,2023-06-18,19,227.5,1
user0611,2023-10-08,17,263.2,0
user0493,2023-01-29,13,338.0,0
user0431,2023-10-29,7,239.5,2
user0800,2024-04-21,11,352.8,0
user0536,2023-01-15,19,196.2,0
user0585,2023-08-06,19,298.6,1
user0188,2023-03-26,15,189.2,0
user0266,2024-02-18,19,268.5,0
user0381,2023-04-09,17,309.0,0
user0277,2023-08-27,12,378.1,2
user0538,2024-04-14,12,227.6,1
user0272,2023-03-12,13,132.8,1
user0597,2023-09-10,12,162.0,0
user0576,2024-04-28,15,299.1,1
user0651,2024-02-25,11,197.9,0
user0579,2023-02-05,18,318.5,1
user0245,2023-11-12,14,280.3,0
user0409,2023-04-16,15,262.3,0
user0223,2023-05-14,14,270.0,0
user0119,2023-08-13,15,230.1,2
user0461,2023-04-02,16,228.8,2
user0738,2023-06-11,10,309.7,0
user0664,2023-09-24,16,276.9,0
user0649,2023-04-30,13,368.8,1
user0425,2023-10-01,10,245.2,1
user0560,2024-06-30,13,406.2,1
user0653,2024-01-07,17,195.0,0
user0376,2024-06-09,13,512.9,3
user0064,2024-04-14,9,437.4,0
user0084,2023-12-10,21,258.9,0
user0040,2023-09-17,22,418.5,5
user0538,2024-01-14,18,293.6,2
user0470,2023-01-29,13,345.4,1
user0699,2023-11-12,16,58.8,0
user0520,2023-12-31,12,249.2,0
user0073,2023-05-28,24,180.6,2
user0324,2023-07-23,10,317.1,1
user0184,2023-06-25,17,457.5,3
user0039,2023-12-31,22,282.2,0
user0166,2023-02-26,19,146.9,0
user0722,2024-04-21,13,300.1,1
user0008,2023-11-05,13,401.5,2
user0044,2023-04-02,10,310.0,0
user0555,2023-05-28,14,344.3,0
user0770,2023-03-05,16,363.3,1
user0700,2023-07-02,23,250.7,0
user0559,2023-08-20,8,191.1,0
user0525,2024-02-04,15,304.1,1
user0786,2024-04-28,13,258.7,0
user0535,2023-06-04,16,472.5,3
user0454,2024-03-31,24,328.1,2
user0037,2023-10-22,19,30.0,0
user0418,2023-06-25,14,185.0,1
user0618,2023-01-01,15,320.6,1
user0534,2024-05-26,9,308.8,0
user0361,2023-12-17,15,132.9,1
user0450,2023-12-31,12,364.0,1
user0103,2023-04-02,15,246.2,0
user0641,2024-03-24,13,268.6,1
user0148,2024-03-17,16,169.3,1
user0518,2023-01-01,11,313.5,1
user0704,2023-11-26,11,308.3,0
user0027,2024-04-28,12,279.3,0
user0635,2023-04-23,13,319.6,1
user0525,2024-01-07,10,315.3,0
user0431,2023-06-18,13,209.1,0
user0595,2023-04-16,12,302.3,2
user0139,2023-02-12,17,282.9,0
user0380,2023-09-17,27,276.9,2
user0492,2023-11-26,22,293.9,2
user0386,2023-04-23,8,341.6,1
user0721,2023-03-26,17,204.2,0
user0313,2023-07-09,18,534.9,3
user0647,2024-04-28,10,259.5,1
user0252,2023-10-08,16,300.3,0
user0556,2023-09-10,17,247.8,0
user0443,2023-01-15,7,386.5,0
user0553,2023-04-09,14,231.4,0
user0179,2024-02-11,12,166.3,1
user0780,2023-12-17,13,301.3,1
user0732,2023-03-12,18,320.1,0
user0232,2023-03-12,10,103.3,1
user0587,2023-04-30,17,480.6,4
user0439,2024-03-17,9,386.7,1
user0483,2024-04-14,16,280.7,1
user0436,2023-01-15,13,249.1,0
user0183,2024-03-10,17,262.5,0
user0452,2024-05-12,12,239.6,0
user0642,2024-02-11,16,509.8,2
user0022,2024-02-04,15,275.8,0
user0218,2023-09-10,16,285.9,1
user0721,2023-05-07,13,253.2,1
user0551,2023-02-26,11,307.1,0
user0504,2023-05-21,14,219.7,1
user0600,2023-07-23,15,311.6,0
user0460,2023-11-26,18,387.8,1
user0238,2023-06-04,18,100.8,0
user0262,2024-01-21,19,401.1,0
user0723,2023-04-16,16,340.2,0
user0781,2024-03-03,13,254.0,0
user0486,2023-06-04,21,477.8,3
user0005,2023-06-18,23,420.5,2
user0763,2023-11-12,15,314.7,0
user0474,2023-07-23,13,372.2,1
user0750,2023-04-23,19,347.8,0
user0458,2024-04-14,16,228.7,0
user0293,2024-05-19,23,184.3,0
user0185,2023-09-17,18,178.0,0
user0513,2023-01-22,10,163.0,0
user0666,2024-02-25,13,369.1,2
user0184,2023-02-12,14,169.7,0
user0748,2023-02-05,14,300.5,0
user0167,2024-06-23,13,282.2,1
user0313,2023-11-26,16,345.3,3
user0091,2023-10-08,13,324.8,0
user0714,2023-08-20,19,195.6,0
user0539,2024-04-21,18,144.0,0
user0756,2023-12-10,15,234.7,1
user0301,2023-01-22,12,279.4,2
user0545,2024-04-28,13,214.7,1
user0039,2023-03-26,24,325.1,3
user0741,2024-04-07,18,88.1,0
user0113,2023-05-28,16,422.9,2
user0343,2023-04-30,15,342.8,2
user0555,2023-11-12,23,279.5,2
user0207,2023-05-14,13,392.7,1
user0344,2023-09-03,12,146.1,0
user0461,2023-03-05,19,386.0,2
user0510,2023-05-21,14,323.4,1
user0283,2023-01-08,12,258.0,0
user0585,2023-07-09,19,309.6,0
user0546,2024-05-12,22,295.5,1
user0191,2023-05-21,10,317.1,0
user0243,2024-06-23,12,278.0,0
user0791,2023-06-04,11,353.8,1
user0701,2023-10-01,14,384.1,3
user0564,2023-12-17,14,232.2,0
user0467,2024-02-25,19,251.5,1
user0321,2023-06-18,17,352.9,1
user0739,2023-09-17,14,298.1,2
user0073,2023-06-11,14,172.2,0
user0492,2024-04-07,20,340.1,1
user0271,2023-06-11,11,362.8,0
user0358,2024-06-09,20,228.0,0
user0695,2023-02-05,12,357.3,0
user0708,2024-05-12,16,273.4,1
user0727,2023-03-19,13,324.3,1
user0274,2023-03-12,15,308.5,1
user0478,2023-12-24,14,234.5,0
user0220,2024-06-23,15,366.9,1
user0240,2023-12-31,14,233.1,0
user0047,2023-06-04,20,270.6,0
user0295,2024-05-12,17,221.2,0
user0084,2024-04-14,14,211.0,0
user0040,2023-02-19,17,298.7,0
user0334,2023-09-10,14,196.1,1
user0027,2023-08-27,20,263.8,0
user0628,2023-08-06,17,338.5,1
user0648,2023-11-05,10,377.0,0
user0321,2024-03-03,23,426.3,2
user0474,2023-12-03,21,387.8,0
user0084,2023-12-24,18,208.6,1
user0640,2024-02-18,18,361.5,2
user0725,2023-01-22,15,287.5,0
user0147,2023-02-26,17,215.6,0
user0719,2024-02-18,10,260.1,0
user0648,2023-03-05,11,236.8,0
user0173,2023-08-06,16,298.1,4
user0270,2024-05-05,11,254.0,0
user0453,2023-04-02,18,377.8,0
user0302,2023-11-12,21,205.1,1
user0497,2024-04-28,20,192.8,1
user0225,2024-03-17,17,115.7,0
user0709,2024-06-16,12,319.4,0
user0309,2023-05-28,10,230.9,0
user0513,2024-04-07,9,290.8,0
user0701,2023-01-01,9,200.0,0
user0066,2023-12-17,16,321.7,1
user0447,2023-10-08,21,370.3,3
user0086,2023-06-11,16,78.0,1
user0271,2023-03-26,16,472.4,1
user0459,2023-04-02,19,338.8,3
user0472,2024-01-21,10,252.7,0
user0556,2023-07-02,10,379.9,0
user0058,2023-06-11,14,325.3,3
user0421,2023-04-16,16,314.3,1
user0576,2023-11-12,10,300.0,0
user0537,2023-12-17,21,227.7,0
user0541,2023-07-02,17,351.1,2
user0325,2023-04-09,13,153.5,0
user0728,2024-06-16,17,131.7,0
user0478,2023-09-17,18,533.6,2
user0485,2023-01-22,20,358.1,1
user0064,2023-10-29,16,269.2,0
user0149,2023-09-10,16,247.0,0
user0133,2024-04-21,19,219.2,0
user0567,2023-01-29,16,303.6,0
user0487,2024-07-07,14,271.6,0
user0077,2024-04-28,14,220.6,2
user0511,2023-12-31,7,309.3,0
user0496,2023-07-16,16,283.1,2
user0377,2024-06-16,17,393.2,1
user0746,2024-05-19,12,104.4,0
user0033,2023-08-13,17,231.9,1
user0495,2024-07-07,19,308.3,0
user0508,2023-02-12,10,298.4,0
user0207,2023-08-13,15,241.2,1
user0776,2023-03-05,9,192.8,1
user0398,2023-06-11,21,430.2,3
user0241,2024-07-07,9,240.5,1
user0389,2024-04-28,14,305.1,1
user0482,2023-01-22,14,363.2,1
user0574,2024-06-23,13,253.8,0
user0272,2023-01-22,23,334.3,1
user0378,2024-02-04,22,391.7,4
user0641,2023-07-30,15,479.4,3
user0750,2024-03-10,18,216.1,0
user0494,2024-06-02,8,258.8,0
user0110,2024-02-04,17,320.4,2
user0446,2023-05-28,12,111.2,0
user0099,2023-11-05,13,418.3,2
user0128,2023-06-04,20,395.8,2
user0021,2024-05-19,16,312.3,1
user0218,2024-03-10,25,224.8,0
user0737,2024-01-28,15,199.0,0
user0408,2023-06-04,18,108.4,0
user0315,2024-05-19,12,201.7,0
user0041,2023-03-12,14,324.3,2
user0051,2023-08-20,16,270.2,0
user0006,2024-02-04,11,407.4,0
user0343,2024-07-07,15,349.8,2
user0485,2024-04-28,13,155.5,1
user0075,2023-01-01,18,464.3,3
user0132,2023-05-21,17,290.1,0
user0041,2024-02-25,8,318.1,1
user0799,2023-09-24,7,174.3,0
user0106,2023-10-01,13,338.1,0
user0684,2023-05-21,25,381.6,3
user0395,2024-05-12,15,209.3,0
user0211,2024-04-07,20,456.0,0
user0706,2023-04-23,10,345.1,2
user0162,2024-07-07,11,127.1,0
user0065,2024-03-17,21,347.7,1
user0679,2024-03-24,12,323.1,1
user0258,2023-08-27,12,235.0,0
user0067,2023-03-12,13,256.3,1
user0277,2023-12-10,15,360.2,1
user0410,2024-03-31,15,108.8,0
user0074,2024-02-11,16,334.8,0
user0594,2024-01-07,18,330.6,1
user0334,2024-01-28,19,109.7,0
user0668,2024-05-12,16,152.9,1
user0420,2023-07-16,14,150.5,0
user0299,2023-04-02,10,414.0,1
user0609,2024-04-28,20,358.7,0
user0362,2024-06-30,15,400.5,0
user0510,2024-05-05,11,373.6,2
user0699,2024-04-14,15,30.0,1
user0259,2024-03-17,10,101.6,0
user0187,2023-12-24,27,382.9,1
user0366,2023-10-15,17,204.7,0
user0717,2024-03-03,15,250.9,1
user0210,2023-10-29,24,308.9,1
user0585,2023-07-16,6,138.3,0
user0107,2023-03-12,10,299.2,2
user0652,2024-04-14,21,232.4,0
user0542,2024-05-19,12,426.1,0
user0491,2024-01-07,12,393.3,0
user0543,2024-03-03,18,302.5,2
user0207,2024-02-04,8,116.0,0
user0362,2024-02-11,12,290.7,0
user0670,2023-04-02,14,317.1,0
user0215,2023-08-06,10,337.4,0
user0590,2023-07-02,15,328.4,1
user0282,2023-12-10,23,323.3,2
user0443,2023-04-30,17,297.9,0
user0447,2023-05-28,14,354.0,0
user0692,2023-09-03,18,259.4,1
user0286,2023-10-08,13,181.0,0
user0031,2023-09-24,15,238.9,0
user0168,2023-03-12,18,351.7,2
user0061,2023-11-12,19,288.8,0
user0665,2024-05-12,14,243.4,0
user0020,2024-01-14,15,286.6,0
user0315,2023-09-17,18,256.6,1
user0166,2023-04-09,8,261.2,0
user0612,2024-05-26,17,301.1,1
user0796,2023-10-15,10,255.4,0
user0114,2023-05-28,12,253.1,0
user0045,2024-06-09,12,272.8,0
user0422,2024-06-16,17,336.8,2
user0719,2023-03-19,21,237.4,0
user0368,2024-05-19,24,192.8,0
user0571,2023-12-31,12,129.2,0
user0591,2024-06-16,12,228.6,0
user0264,2023-03-12,13,294.8,0
user0549,2023-05-07,15,167.1,0
user0441,2023-11-26,19,362.7,0
user0434,2023-05-28,20,299.3,0
user0349,2024-01-07,9,210.8,0
user0199,2023-07-23,13,377.8,1
user0145,2024-03-31,9,143.5,0
user0011,2024-04-28,15,354.5,1
user0028,2023-02-05,17,263.4,0
user0316,2024-05-12,13,441.3,2
user0571,2024-05-19,10,253.3,0
user0430,2023-01-08,15,285.7,0
user0156,2023-11-12,16,202.8,1
user0104,2023-09-10,14,223.4,0
user0094,2023-04-02,11,131.3,0
user0065,2024-01-14,13,193.5,0
user0417,2023-04-02,15,183.8,0
user0310,2024-07-07,9,91.7,0
user0780,2023-09-24,8,206.9,0
user0286,2023-06-11,16,333.5,1
user0643,2023-03-26,9,459.4,1
user0624,2023-04-02,9,337.9,1
user0672,2023-10-01,19,344.2,3
user0445,2024-04-21,12,184.5,0
user0735,2023-05-07,12,312.8,2
user0699,2023-04-23,17,112.2,0
user0370,2023-01-15,14,302.3,1
user0454,2024-03-17,10,300.1,0
user0025,2023-01-01,15,440.1,0
user0030,2024-03-10,11,243.1,0
user0040,2023-10-22,14,308.5,1
user0479,2023-07-30,10,318.0,2
user0549,2024-07-07,24,266.9,4
user0525,2023-02-19,23,270.2,2
user0544,2023-02-26,14,300.1,0
user0050,2023-09-03,19,298.8,1
user0127,2023-03-12,9,465.4,2
user0172,2024-05-12,21,186.6,0
user0402,2023-12-03,21,328.7,1
user0628,2023-02-12,15,161.2,0
user0515,2024-03-24,17,202.1,1
user0595,2023-01-01,19,423.1,2
user0238,2023-07-02,12,383.0,2
user0055,2023-09-10,15,332.9,2
user0205,2024-01-07,13,172.7,0
user0186,2024-06-16,25,244.1,0
user0269,2023-07-30,11,257.5,0
user0340,2023-02-12,13,337.1,2
user0158,2023-01-15,14,212.8,0
user0236,2023-08-13,21,269.2,0
